detector,seed,phase_definition,nominal_fpr,unit,flight_class,phase,healthy_flights,fraction_flights_with_false_alarm,events_per_healthy_flight,matched_fc
isolation_forest,1,primary,0.02,all,mixed,overall,76,1.0,22.56578947368421,False
isolation_forest,1,alt_rate,0.005,11,3,climb,18,0.3888888888888889,0.7777777777777778,True
isolation_forest,1,alt_rate,0.005,11,3,cruise,18,0.5,2.4444444444444446,True
isolation_forest,1,alt_rate,0.005,11,3,descent,18,1.0,15.833333333333334,True
isolation_forest,1,alt_rate,0.005,11,3,overall,18,1.0,19.055555555555557,True
isolation_forest,1,alt_rate,0.005,14,1,climb,35,0.3142857142857143,0.3142857142857143,False
isolation_forest,1,alt_rate,0.005,14,1,cruise,35,0.22857142857142856,1.4,False
isolation_forest,1,alt_rate,0.005,14,1,descent,35,0.6857142857142857,1.3142857142857143,False
isolation_forest,1,alt_rate,0.005,14,1,overall,35,0.8857142857142857,3.0285714285714285,False
isolation_forest,1,alt_rate,0.005,15,2,climb,23,0.13043478260869565,0.30434782608695654,False
isolation_forest,1,alt_rate,0.005,15,2,cruise,23,0.17391304347826086,0.5217391304347826,False
isolation_forest,1,alt_rate,0.005,15,2,descent,23,0.6086956521739131,6.6521739130434785,False
isolation_forest,1,alt_rate,0.005,15,2,overall,23,0.6086956521739131,7.478260869565218,False
isolation_forest,1,alt_rate,0.005,all,mixed,climb,76,0.27631578947368424,0.42105263157894735,False
isolation_forest,1,alt_rate,0.005,all,mixed,cruise,76,0.27631578947368424,1.381578947368421,False
isolation_forest,1,alt_rate,0.005,all,mixed,descent,76,0.7368421052631579,6.368421052631579,False
isolation_forest,1,alt_rate,0.005,all,mixed,overall,76,0.8289473684210527,8.171052631578947,False
isolation_forest,1,alt_rate,0.01,11,3,climb,18,0.7222222222222222,1.3333333333333333,True
isolation_forest,1,alt_rate,0.01,11,3,cruise,18,0.5555555555555556,3.1666666666666665,True
isolation_forest,1,alt_rate,0.01,11,3,descent,18,1.0,16.5,True
isolation_forest,1,alt_rate,0.01,11,3,overall,18,1.0,21.0,True
isolation_forest,1,alt_rate,0.01,14,1,climb,35,0.5714285714285714,0.7714285714285715,False
isolation_forest,1,alt_rate,0.01,14,1,cruise,35,0.22857142857142856,1.7142857142857142,False
isolation_forest,1,alt_rate,0.01,14,1,descent,35,0.8857142857142857,5.0,False
isolation_forest,1,alt_rate,0.01,14,1,overall,35,1.0,7.485714285714286,False
isolation_forest,1,alt_rate,0.01,15,2,climb,23,0.6086956521739131,1.0434782608695652,False
isolation_forest,1,alt_rate,0.01,15,2,cruise,23,0.17391304347826086,1.173913043478261,False
isolation_forest,1,alt_rate,0.01,15,2,descent,23,0.9565217391304348,9.826086956521738,False
isolation_forest,1,alt_rate,0.01,15,2,overall,23,0.9565217391304348,12.0,False
