detector,seed,phase_definition,nominal_fpr,unit,cycle,flight_class,phase,rows,false_alarms,any_false_alarm,false_alarm_events,matched_fc
pca,-1,primary,0.01,11,5,3,climb,2138,0,0,0,True
pca,-1,primary,0.01,11,5,3,cruise,6376,23,1,7,True
pca,-1,primary,0.01,11,5,3,descent,5237,175,1,59,True
pca,-1,primary,0.01,11,6,3,overall,11689,142,1,70,True
pca,-1,primary,0.01,11,6,3,climb,2583,0,0,0,True
pca,-1,primary,0.01,11,6,3,cruise,5477,46,1,25,True
pca,-1,primary,0.01,11,6,3,descent,3629,96,1,45,True
pca,-1,primary,0.01,11,7,3,overall,11007,75,1,34,True
pca,-1,primary,0.01,11,7,3,climb,2506,0,0,0,True
pca,-1,primary,0.01,11,7,3,cruise,4386,24,1,14,True
pca,-1,primary,0.01,11,7,3,descent,4115,51,1,20,True
pca,-1,primary,0.01,11,8,3,overall,8826,246,1,34,True
pca,-1,primary,0.01,11,8,3,climb,4368,41,1,2,True
pca,-1,primary,0.01,11,8,3,cruise,2947,95,1,4,True
pca,-1,primary,0.01,11,8,3,descent,1511,110,1,28,True
pca,-1,primary,0.01,11,9,3,overall,8928,129,1,40,True
pca,-1,primary,0.01,11,9,3,climb,2151,11,1,3,True
pca,-1,primary,0.01,11,9,3,cruise,4055,5,1,3,True
pca,-1,primary,0.01,11,9,3,descent,2722,113,1,34,True
pca,-1,primary,0.01,11,10,3,overall,13940,26,1,15,True
pca,-1,primary,0.01,11,10,3,climb,3800,0,0,0,True
pca,-1,primary,0.01,11,10,3,cruise,6079,3,1,2,True
pca,-1,primary,0.01,11,10,3,descent,4061,23,1,13,True
pca,-1,primary,0.01,11,11,3,overall,13751,187,1,48,True
pca,-1,primary,0.01,11,11,3,climb,2138,0,0,0,True
pca,-1,primary,0.01,11,11,3,cruise,6376,29,1,7,True
pca,-1,primary,0.01,11,11,3,descent,5237,158,1,41,True
pca,-1,primary,0.01,11,12,3,overall,14346,79,1,40,True
pca,-1,primary,0.01,11,12,3,climb,3405,0,0,0,True
pca,-1,primary,0.01,11,12,3,cruise,2752,21,1,13,True
pca,-1,primary,0.01,11,12,3,descent,8189,58,1,27,True
pca,-1,primary,0.01,11,13,3,overall,10704,53,1,34,True
pca,-1,primary,0.01,11,13,3,climb,2712,0,0,0,True
pca,-1,primary,0.01,11,13,3,cruise,4440,14,1,10,True
pca,-1,primary,0.01,11,13,3,descent,3552,39,1,24,True
pca,-1,primary,0.01,11,14,3,overall,11573,145,1,46,True
