detector,seed,phase_definition,nominal_fpr,unit,flight_class,phase,n,false_alarms,false_alarm_rate,threshold,matched_fc
isolation_forest,1,primary,0.005,11,3,climb,53678,10,0.00018629606170125564,0.6309654301799236,True
isolation_forest,1,primary,0.005,11,3,cruise,86535,151,0.0017449586872363783,0.6309654301799236,True
isolation_forest,1,primary,0.005,11,3,descent,73093,1058,0.014474710300575979,0.6309654301799236,True
isolation_forest,1,primary,0.005,14,1,overall,72268,512,0.007084740133945868,0.6309654301799236,False
isolation_forest,1,primary,0.005,14,1,climb,12241,85,0.006943877134221061,0.6309654301799236,False
isolation_forest,1,primary,0.005,14,1,cruise,33377,228,0.006831051322767175,0.6309654301799236,False
isolation_forest,1,primary,0.005,14,1,descent,26650,199,0.007467166979362102,0.6309654301799236,False
isolation_forest,1,primary,0.005,15,2,overall,147539,561,0.003802384454279885,0.6309654301799236,False
isolation_forest,1,primary,0.005,15,2,climb,48789,35,0.0007173748180942425,0.6309654301799236,False
isolation_forest,1,primary,0.005,15,2,cruise,53466,127,0.0023753413384206786,0.6309654301799236,False
isolation_forest,1,primary,0.005,15,2,descent,45284,399,0.008811059093719636,0.6309654301799236,False
isolation_forest,1,primary,0.005,all,mixed,overall,433113,2292,0.005291921507782034,0.6309654301799236,False
isolation_forest,1,primary,0.005,all,mixed,climb,114708,130,0.0011333124106426753,0.6309654301799236,False
isolation_forest,1,primary,0.005,all,mixed,cruise,173378,506,0.0029184786997196875,0.6309654301799236,False
isolation_forest,1,primary,0.005,all,mixed,descent,145027,1656,0.011418563439911189,0.6309654301799236,False
isolation_forest,1,primary,0.01,11,3,overall,213306,2030,0.00951684434568179,0.5647429033993273,True
isolation_forest,1,primary,0.01,11,3,climb,53678,45,0.0008383322776556503,0.5647429033993273,True
isolation_forest,1,primary,0.01,11,3,cruise,86535,265,0.003062344716010863,0.5647429033993273,True
isolation_forest,1,primary,0.01,11,3,descent,73093,1720,0.02353166513893259,0.5647429033993273,True
isolation_forest,1,primary,0.01,14,1,overall,72268,1533,0.021212708252615266,0.5647429033993273,False
isolation_forest,1,primary,0.01,14,1,climb,12241,159,0.012989134874601748,0.5647429033993273,False
isolation_forest,1,primary,0.01,14,1,cruise,33377,470,0.014081553165353387,0.5647429033993273,False
isolation_forest,1,primary,0.01,14,1,descent,26650,904,0.03392120075046905,0.5647429033993273,False
isolation_forest,1,primary,0.01,15,2,overall,147539,1563,0.010593809094544493,0.5647429033993273,False
isolation_forest,1,primary,0.01,15,2,climb,48789,90,0.0018446781036709095,0.5647429033993273,False
isolation_forest,1,primary,0.01,15,2,cruise,53466,188,0.0035162533198668314,0.5647429033993273,False
isolation_forest,1,primary,0.01,15,2,descent,45284,1285,0.028376468509848953,0.5647429033993273,False
isolation_forest,1,primary,0.01,all,mixed,overall,433113,5126,0.01183524853791043,0.5647429033993273,False
isolation_forest,1,primary,0.01,all,mixed,climb,114708,294,0.002563029605607281,0.5647429033993273,False
isolation_forest,1,primary,0.01,all,mixed,cruise,173378,923,0.005323628141978798,0.5647429033993273,False
isolation_forest,1,primary,0.01,all,mixed,descent,145027,3909,0.026953601743123695,0.5647429033993273,False
isolation_forest,1,primary,0.02,11,3,overall,213306,3982,0.018668016839657582,0.5089137200980296,True
isolation_forest,1,primary,0.02,11,3,climb,53678,107,0.001993367860203435,0.5089137200980296,True
isolation_forest,1,primary,0.02,11,3,cruise,86535,521,0.006020685271855319,0.5089137200980296,True
isolation_forest,1,primary,0.02,11,3,descent,73093,3354,0.04588674702091856,0.5089137200980296,True
isolation_forest,1,primary,0.02,14,1,overall,72268,4296,0.05944539768638955,0.5089137200980296,False
isolation_forest,1,primary,0.02,14,1,climb,12241,387,0.03161506412874765,0.5089137200980296,False
isolation_forest,1,primary,0.02,14,1,cruise,33377,809,0.024238247895257213,0.5089137200980296,False
isolation_forest,1,primary,0.02,14,1,descent,26650,3100,0.11632270168855535,0.5089137200980296,False
isolation_forest,1,primary,0.02,15,2,overall,147539,4091,0.027728261679962587,0.5089137200980296,False
isolation_forest,1,primary,0.02,15,2,climb,48789,183,0.0037508454774641824,0.5089137200980296,False
isolation_forest,1,primary,0.02,15,2,cruise,53466,313,0.0058541877080761605,0.5089137200980296,False
isolation_forest,1,primary,0.02,15,2,descent,45284,3595,0.07938786326296264,0.5089137200980296,False
isolation_forest,1,primary,0.02,all,mixed,overall,433113,12369,0.028558366985059327,0.5089137200980296,False
isolation_forest,1,primary,0.02,all,mixed,climb,114708,677,0.005901942323116086,0.5089137200980296,False
isolation_forest,1,primary,0.02,all,mixed,cruise,173378,1643,0.009476404157390211,0.5089137200980296,False
isolation_forest,1,primary,0.02,all,mixed,descent,145027,10049,0.06929054589834996,0.5089137200980296,False
isolation_forest,1,alt_rate,0.005,11,3,overall,213306,1219,0.005714794708071971,0.6309654301799236,True
isolation_forest,1,alt_rate,0.005,11,3,climb,58507,19,0.0003247474661151657,0.6309654301799236,True
isolation_forest,1,alt_rate,0.005,11,3,cruise,83871,114,0.0013592302464499053,0.6309654301799236,True
isolation_forest,1,alt_rate,0.005,11,3,descent,70928,1086,0.015311301601624182,0.6309654301799236,True
isolation_forest,1,alt_rate,0.005,14,1,overall,72268,512,0.007084740133945868,0.6309654301799236,False
isolation_forest,1,alt_rate,0.005,14,1,climb,13993,85,0.006074465804330737,0.6309654301799236,False
isolation_forest,1,alt_rate,0.005,14,1,cruise,30506,199,0.006523306890447781,0.6309654301799236,False
isolation_forest,1,alt_rate,0.005,14,1,descent,27769,228,0.008210594547877129,0.6309654301799236,False
isolation_forest,1,alt_rate,0.005,15,2,overall,147539,561,0.003802384454279885,0.6309654301799236,False
isolation_forest,1,alt_rate,0.005,15,2,climb,53843,35,0.0006500380736586,0.6309654301799236,False
isolation_forest,1,alt_rate,0.005,15,2,cruise,43303,17,0.00039258250005773273,0.6309654301799236,False
isolation_forest,1,alt_rate,0.005,15,2,descent,50393,509,0.01010060921159685,0.6309654301799236,False
isolation_forest,1,alt_rate,0.005,all,mixed,overall,433113,2292,0.005291921507782034,0.6309654301799236,False
isolation_forest,1,alt_rate,0.005,all,mixed,climb,126343,139,0.0011001796696295007,0.6309654301799236,False
isolation_forest,1,alt_rate,0.005,all,mixed,cruise,157680,330,0.0020928462709284626,0.6309654301799236,False
isolation_forest,1,alt_rate,0.005,all,mixed,descent,149090,1823,0.012227513582399893,0.6309654301799236,False
isolation_forest,1,alt_rate,0.01,11,3,overall,213306,2030,0.00951684434568179,0.5647429033993273,True
isolation_forest,1,alt_rate,0.01,11,3,climb,58507,66,0.0011280701454526808,0.5647429033993273,True
isolation_forest,1,alt_rate,0.01,11,3,cruise,83871,180,0.0021461530207103766,0.5647429033993273,True
isolation_forest,1,alt_rate,0.01,11,3,descent,70928,1784,0.025152267087750958,0.5647429033993273,True
isolation_forest,1,alt_rate,0.01,14,1,overall,72268,1533,0.021212708252615266,0.5647429033993273,False
isolation_forest,1,alt_rate,0.01,14,1,climb,13993,160,0.011434288572857857,0.5647429033993273,False
isolation_forest,1,alt_rate,0.01,14,1,cruise,30506,392,0.012849931161083065,0.5647429033993273,False
isolation_forest,1,alt_rate,0.01,14,1,descent,27769,981,0.03532716338362923,0.5647429033993273,False
isolation_forest,1,alt_rate,0.01,15,2,overall,147539,1563,0.010593809094544493,0.5647429033993273,False
isolation_forest,1,alt_rate,0.01,15,2,climb,53843,90,0.0016715264751221144,0.5647429033993273,False
isolation_forest,1,alt_rate,0.01,15,2,cruise,43303,43,0.000993002794263677,0.5647429033993273,False
isolation_forest,1,alt_rate,0.01,15,2,descent,50393,1430,0.028376957117059908,0.5647429033993273,False
isolation_forest,1,alt_rate,0.01,all,mixed,overall,433113,5126,0.01183524853791043,0.5647429033993273,False
isolation_forest,1,alt_rate,0.01,all,mixed,climb,126343,316,0.0025011278820354114,0.5647429033993273,False
isolation_forest,1,alt_rate,0.01,all,mixed,cruise,157680,615,0.003900304414003044,0.5647429033993273,False
isolation_forest,1,alt_rate,0.01,all,mixed,descent,149090,4195,0.028137366691260313,0.5647429033993273,False
isolation_forest,1,alt_rate,0.02,11,3,overall,213306,3982,0.018668016839657582,0.5089137200980296,True
isolation_forest,1,alt_rate,0.02,11,3,climb,58507,136,0.0023245081785085546,0.5089137200980296,True
