detector,phase_definition,subset,unit,flight_class,phase,n,mean,median,p90,p95,p99
static_derivative,alt_rate,train,16,3,climb,53813,0.016359671425760672,0.011607695428946794,0.03149755431997035,0.04916655881415615,0.10207277109872577
static_derivative,alt_rate,train,16,3,cruise,79402,0.0262068281705761,0.014051328990515461,0.05388756406504846,0.06842844859976008,0.1454589505749253
static_derivative,alt_rate,train,16,3,descent,61404,0.2577069194952389,0.0483595984037964,0.16740253021817403,0.3317766792086978,0.8790648318912831
static_derivative,alt_rate,train,all,mixed,climb,223192,0.013923211970609448,0.00799186689823166,0.029515069320350334,0.045477326580275694,0.10002093454898334
static_derivative,alt_rate,train,all,mixed,cruise,301714,0.02497375039091323,0.011325602496566698,0.04866714388462748,0.06822544807587476,0.12627280054831244
static_derivative,alt_rate,train,all,mixed,descent,235176,0.16866536827104267,0.044646550728900794,0.14923897725426855,0.3080368703109178,0.9007402628458105
static_derivative,alt_rate,calibration,18,3,climb,59158,0.018036754584953053,0.012661328128379666,0.029971990015664043,0.048659131259726256,0.11571835709731265
static_derivative,alt_rate,calibration,18,3,cruise,71383,0.025709757381582477,0.012849396384507,0.0328524504311526,0.05019757673350539,0.11108753546022808
static_derivative,alt_rate,calibration,18,3,descent,62748,0.16498144633271095,0.04994157858023197,0.1286152430495929,0.2880135071254463,0.9061058515131843
static_derivative,alt_rate,calibration,20,3,climb,52201,0.02003359549609211,0.011850591547932209,0.04544993258949385,0.0705673425549962,0.11820612913068815
static_derivative,alt_rate,calibration,20,3,cruise,79401,0.036475406928522254,0.014321746785294104,0.08057940672602955,0.11646775998242347,0.20693212858716073
static_derivative,alt_rate,calibration,20,3,descent,61752,2.8377288906079663,0.0501479504740561,0.17401954815902357,0.3406848642553893,1.18711294740235
static_derivative,alt_rate,calibration,all,mixed,climb,111359,0.01897280009903247,0.012377185049731005,0.03862635790513946,0.060711275132345616,0.11756041019105831
static_derivative,alt_rate,calibration,all,mixed,cruise,150784,0.03137881603287549,0.013403097036750664,0.05681222484457168,0.09006762137231217,0.179682168644697
static_derivative,alt_rate,calibration,all,mixed,descent,124500,1.4906641786932378,0.05004360817556719,0.15382583692729912,0.31169911444885495,1.0466936826175917
static_derivative,alt_rate,official_test,11,3,climb,58507,0.01371537215485475,0.008151309966514354,0.02457915990717031,0.03874023949370852,0.0967145456553268
static_derivative,alt_rate,official_test,11,3,cruise,83871,0.034702168771342766,0.010909984185478708,0.046390524894576964,0.07170810455500393,0.1608654439327786
static_derivative,alt_rate,official_test,11,3,descent,70928,0.1501074159663625,0.04460904477845348,0.15947595906921463,0.34180060595518014,1.0181114038539716
static_derivative,alt_rate,official_test,14,1,climb,13993,0.041587825820444374,0.027930127427233813,0.07895180565893921,0.13415258419910675,0.24025212379927086
static_derivative,alt_rate,official_test,14,1,cruise,30506,0.052285828733883113,0.03647592092277503,0.0908599267548364,0.11931368812178195,0.3758857225439947
static_derivative,alt_rate,official_test,14,1,descent,27769,0.12438044910102337,0.05212295986286857,0.22483314216517042,0.4347502766337215,0.694483052045707
static_derivative,alt_rate,official_test,15,2,climb,53843,0.023092723164264244,0.015505457772570301,0.0466838090211349,0.05944266905935312,0.11656639409273314
static_derivative,alt_rate,official_test,15,2,cruise,43303,0.028805786674122036,0.020057454747642287,0.0447803156412142,0.055045622451734805,0.09219311260841476
static_derivative,alt_rate,official_test,15,2,descent,50393,3.16329050896946,0.059068904547906545,0.19748392274869186,0.39096267527639467,0.8907563162226948
static_derivative,alt_rate,official_test,all,mixed,climb,126343,0.020798660936522367,0.012379715712841395,0.044651850665320326,0.060519945981287356,0.1402624360560354
static_derivative,alt_rate,official_test,all,mixed,cruise,157680,0.03648474168395886,0.016948255776301203,0.05716812204006594,0.0825332674287246,0.18448384908513657
static_derivative,alt_rate,official_test,all,mixed,descent,149090,1.163783205508394,0.05115962040441358,0.1858180682600104,0.3705722178864442,0.8817808682492083
history,primary,train,2,3,climb,57051,0.014191153423915305,0.008743374219050453,0.030703632053774934,0.042702588327291416,0.07016899219200505
history,primary,train,2,3,cruise,77394,0.04687941743474093,0.013375335866852717,0.05069398408669477,0.08853808162172437,0.31776982245012775
history,primary,train,2,3,descent,54418,0.1499012148136943,0.040836326522986126,0.14836912267387609,0.303034320659973,1.0558008092480713
