detector,phase_definition,subset,unit,flight_class,phase,n,mean,median,p90,p95,p99
condition_corrected_pca,alt_rate,train,2,3,descent,57886,0.11844567919371593,0.03988838274675638,0.13843823343552636,0.25849595894091526,0.5624972107446542
condition_corrected_pca,alt_rate,train,5,3,climb,53461,0.009905425756412478,0.0055338415209664924,0.01816938924030769,0.03164948988351338,0.07423368118394125
condition_corrected_pca,alt_rate,train,5,3,cruise,77061,0.018708324273684542,0.007261334634117428,0.053926093156379015,0.07353297387323943,0.109579408016654
condition_corrected_pca,alt_rate,train,5,3,descent,58028,0.09307227418408791,0.04157995074453027,0.11719218252549693,0.24425971068307417,0.5219806109682245
condition_corrected_pca,alt_rate,train,10,3,climb,53315,0.01138548441490847,0.005862753447209921,0.023150456797009257,0.0360761643391828,0.11163085864054331
condition_corrected_pca,alt_rate,train,10,3,cruise,76877,0.011789108066047941,0.005533198705147342,0.023152767563292494,0.03698864660651603,0.08714695333402915
condition_corrected_pca,alt_rate,train,10,3,descent,57858,0.09844027065672524,0.04223987850011401,0.11690151272600054,0.19143509295931213,0.4774209064592772
condition_corrected_pca,alt_rate,train,16,3,climb,53813,0.009579037344749622,0.005683269515589757,0.019057519359701777,0.028155114709094563,0.07145675287737442
condition_corrected_pca,alt_rate,train,16,3,cruise,79402,0.022424506872209822,0.007894949998277015,0.0547547819888464,0.06994657243122064,0.1267064748086713
condition_corrected_pca,alt_rate,train,16,3,descent,61404,0.2143958230407759,0.04415541710742435,0.14675014111582044,0.26065183533593905,0.5715541138553013
condition_corrected_pca,alt_rate,train,all,mixed,climb,223192,0.010172239917453921,0.005819764400889577,0.020383163194051437,0.031823417466249365,0.08239618934453938
condition_corrected_pca,alt_rate,train,all,mixed,cruise,301714,0.019695240794789005,0.00717247219424556,0.044268581098811044,0.06461107682642399,0.11692703416675465
condition_corrected_pca,alt_rate,train,all,mixed,descent,235176,0.13231563939268592,0.0419627833031104,0.12923388041803385,0.23885452833600787,0.5302252496931525
condition_corrected_pca,alt_rate,calibration,18,3,climb,59158,0.011611536115149663,0.006062028522680937,0.019464069604475113,0.03143195539371449,0.12911722708536563
condition_corrected_pca,alt_rate,calibration,18,3,cruise,71383,0.01971289043650602,0.008751922255230448,0.02442195198571102,0.034313141757243044,0.12017069628975097
condition_corrected_pca,alt_rate,calibration,18,3,descent,62748,0.12422771107192047,0.04329730916134026,0.10854350727530233,0.2290991249100613,0.5553835265366633
